id,email,encrypted_password,confirmation_token,remember_token,legacy_uuid,first_name,last_name,legacy_candidate_id,created_at,updated_at,phone_number,headline,facebook_username,linkedin_username,twitter_username,gender,military_status,race,last_signed_in_at,admin,marketable,legacy_resume_exists,professional_networkable,deleted_at,legacy_profile_photo_exists,apns_token
10,user+3@example.com,$2a$10$s959FmEiiPf3QnBjqJ934u/KtrM/eU5x4Qx5azpvI7c91EnVnS886,,08657e892ccda50b06aa20c1c679672e6f98c209,e3dbf994-09fd-42c0-a55f-75c55c073349,Serena-7,Williams,7,06:33.4,06:33.8,5555555555,Park williamsburg irony twee organic. Chambray seitan banjo lo-fi +1 beard scenester. Actually humblebrag chia 90's iphone diy next level cl,fb-user,linkedin-user,twitter-user,0,1,5,,f,f,f,t,,f,token
12,user+10@example.com,$2a$10$2.JJ4jAuasMRnEh.HaXOS.8Ak4r.gUkdf2f1zn7GPo1QYQB0VS8.S,,82b36644c8b1b6ffadd18aedc06f9f715fe1dfea,6c4542c6-b726-45b3-a770-b4fb78533605,Serena-14,Williams,14,06:34.0,06:34.0,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
13,user+11@example.com,$2a$10$QjUu/4f7/gsEDk2Iwd2l9etvQ54J40FIlH97ZeU98g17aD/zDkB5a,,ace0a545f84a64dc4ecec1c09693f2eba706ca0f,42e62b8d-ce90-4c92-b424-22712d3cfc52,Serena-15,Williams,15,06:34.1,06:34.1,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
14,user+12@example.com,$2a$10$XdGG2vXPwJtjMLxHGmwweufhhDAHIo5q/MKRVgUiw5vtNDcqkER3i,,ad8956ed7f302498e422b57b6b0be755ae762666,458fad31-b5d9-4ad2-88b7-14fe1e64e0f9,Serena-16,Williams,16,06:34.2,06:34.2,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
16,user+14@example.com,$2a$10$GsN25mkn6O3iWNUZPxlcleDqpoFhjZCOVOgQcPgVAlSKa0GIhKNeq,,9a6dac3fbbe0c2f7a87335b9098fd616cbb5c016,841284d2-d11f-4891-a87b-f35105b03e26,Serena-18,Williams,18,06:34.5,06:34.5,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
15,user+9@example.com,$2a$10$RYNUKjujskIER97TkPJ3kucLILPe6Qf0gwOHIj3R/kKaMmkqijHSG,,fec8e393d3c05f272413ae89fd30226b1882c993,1ad35e97-7977-4532-89af-9d8803b7771e,Serena-13,Williams,13,06:34.3,06:34.6,5555555555,Occupy thundercats fingerstache put a bird on it post-ironic pabst. Quinoa williamsburg vinegar cray kogi gastropub portland. Five dollar to,fb-user,linkedin-user,twitter-user,0,1,5,,f,f,f,t,,f,token
17,user+16@example.com,$2a$10$K9tN5k9grTSYSaKKxVxiIu3oQ/kGdcyy2ZStoGF8O5PWVSvNCMdqW,,806aaa3837f32171bf15e2f76e1c8637d1568f10,74e3e4e9-048b-457b-8fed-bfba4211066c,Serena-20,Williams,20,06:34.7,06:34.7,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
18,user+17@example.com,$2a$10$0IKHiUv5pZ1I9QZP9JGF7O7XMTXUcaUssDCWGeGZcFE67uQi4J77m,,2c3828079b2a9e4bd98f502431408d0b44579360,bbeeb872-79d8-42bf-81c5-420b647a6cb2,Serena-21,Williams,21,06:34.8,06:34.8,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
23,user+23@example.com,$2a$10$.XiNQPY6DhP0BcttgNjwsu7njlWKTEL6gzvre0nb.nNZlKvxFtFFy,,305b016bc4e76640396afcaaecc8ba5264bc9c38,5b35ca63-d02a-4f8a-949d-448dd8f0ceab,Serena-27,Williams,27,06:35.7,06:35.7,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
21,user+20@example.com,$2a$10$lrwuZ4DKtHtYIa8JHXpWG.DEiY.PRPrxbowPWUtJ4KOh4ESFsX3Q6,,6fb2c89190539127b3e677879da9d467e2550a33,5de3831f-9c5d-4f54-9f01-705f1c3299ea,Serena-24,Williams,24,06:35.4,06:35.4,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
20,user+15@example.com,$2a$10$ZKblKIF10GaFQbF.mewPS.EFaoxfbFbRGpk6f0m3.TQIWOExqyfzy,,52d5994c01900ca9dbb2ed5ba6c9bf8b87860010,99ff851f-8841-4424-92f6-f24ae83b22ef,Serena-19,Williams,19,06:35.0,06:35.5,5555555555,Retro direct trade cold-pressed forage chicharrones semiotics listicle tote bag. Mixtape schlitz next level chartreuse pbr&b. Organic forage,fb-user,linkedin-user,twitter-user,0,1,5,,f,f,f,t,,f,token
22,user+22@example.com,$2a$10$dODxJWD4BdmlHgQuy/gfUuuChphsmz37tyCwk1y/NIkjUWwIiCBYO,,2f8801b0499e95d67593d7fe18bc5f7083a0aa75,35c44c19-82eb-4c78-9f68-ca37336d2829,Serena-26,Williams,26,06:35.6,06:35.6,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
24,user+24@example.com,$2a$10$A3xI.ILn3CD0QMKURUwzyu0OG.WsiGxAiew.xOWuA0biBT2dcUdfO,,d012a8dabe8fb09370a48f8307f2d640325d809c,2c55fea5-82d9-4ee0-b231-fda559bc6cda,Serena-28,Williams,28,06:35.9,06:35.9,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
26,user+26@example.com,$2a$10$F35BAX5fu1v2yihvZNunWuBaDNsPA3BVmal.2gj3i6GAWgmyk00Xa,,44ef09b42198371c0325905896f2df72e35a0421,059a5089-9797-454c-a5fb-fc6f9e4bd22d,Serena-30,Williams,30,06:36.2,06:36.2,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
25,user+21@example.com,$2a$10$hVclX7y.9f9a54wTOItkYek7Y0acOmsaAeofQGVIXQTD77f/ku06i,,d09d7d2ca5d8a11ef478d64d3dfb37260bac6ee8,248e7c77-1569-4894-8f83-15764b3d739e,Serena-25,Williams,25,06:36.0,06:36.3,5555555555,Flexitarian small batch bicycle rights brunch wayfarers selvage. Sartorial kickstarter art party semiotics. Narwhal messenger bag kitsch +1 ,fb-user,linkedin-user,twitter-user,0,1,5,,f,f,f,t,,f,token
27,user+28@example.com,$2a$10$V.jaS3JcFPOUJCw6lcwP5.Oda5pC1xECJCvR7Jgx6weN9OYqwrMG2,,2a550324e699106f628400d9b721a2496e47cc73,34b5a0f9-637b-4fed-a4b6-22c92563cde5,Serena-32,Williams,32,06:36.4,06:36.4,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
28,user+29@example.com,$2a$10$ZA/p0m8raPuI3PJjDzzqCeV8fur3yfBti/idnu3lHCiGUxTaq6AGm,,ca2b605a43c59f0aa12e21880db92e7f0b50b5c1,c151de35-a724-4747-beb3-6255fa53537d,Serena-33,Williams,33,06:36.5,06:36.5,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
29,user+30@example.com,$2a$10$ZSqomq5eAmVprrNWJeC.xOsrIZPh0T1oWLIWSEYRJ1dIksviF3MnG,,8de0e4a3f6a779b1b1f905f67a8506522eb74d30,3df08770-60d1-48b1-b30d-63c334f913aa,Serena-34,Williams,34,06:36.6,06:36.6,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
31,user+32@example.com,$2a$10$7X6GwQ8jNAZejLlS3qB4q.zG2jUoF9l9fIGAyn/JX8qhz25TSdp2.,,4b96efe8be692369ce0c893eab0468e07cbe4e63,fb526bec-0eb4-4845-912d-45e48ee03e6f,Serena-36,Williams,36,06:37.0,06:37.0,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
30,user+27@example.com,$2a$10$gRUAdSvYP0bnVGvDjON8i.ebACR68ooPkF.SpOpPIGV/zoIvEEcty,,52fd4ad48d46d2cf7a8ecf402c766a58c3c17e36,fd1abced-03cf-47d6-8b3e-63aeb433b374,Serena-31,Williams,31,06:36.7,06:37.0,5555555555,Waistcoat vinegar ramps. Salvia trust fund wolf tousled. Vice lo-fi celiac meggings mumblecore venmo. Kinfolk austin selvage etsy. Normcore ,fb-user,linkedin-user,twitter-user,0,1,5,,f,f,f,t,,f,token
32,user+34@example.com,$2a$10$yPHg/QOOvOIqHbqlSkVl2OmBoafk3kGxEjh8lCyKG3htI9qRELMbe,,246bcff770b58f03d60266d512be55ec87e5cc6a,11bfee42-a663-4ce9-a66b-c63b1336c00a,Serena-38,Williams,38,06:37.2,06:37.2,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
33,user+35@example.com,$2a$10$yGMPCSRxCaz.DP/KGsVRCu8mPoFMmLMswPISHykXSRHKsRB0UL0b2,,adbe4928fcbd4c0f84f42f71499b1948d36af8c9,de3c62cb-7256-4bda-8b9b-b0d2eb7c9618,Serena-39,Williams,39,06:37.3,06:37.3,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
34,user+36@example.com,$2a$10$pOz5G4gGM0PDHo59N1VJhei5ifFbXEpTsyF0Lks2aqnZX1vr4Gxxe,,96abe6e1d423d4453e4e94f6cfe870f801f92d0e,e974778b-e212-4d69-810d-17a1b6c39b61,Serena-40,Williams,40,06:37.4,06:37.4,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
41,user+44@example.com,$2a$10$Zg1.HILPixSpwvvPGKq7VOasoUVJL/ClCYy1k7L1TqN/xOmEVvp6W,,e4674fcd1ee02344a94d7e671f4b011ec7147a75,4a23471a-f126-4d44-a14f-9653a909fd20,Serena-48,Williams,48,06:38.4,06:38.4,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
36,user+38@example.com,$2a$10$w9/BiR6ZB6H.AUdkT/hK7OH587M/kYr2/idD3RjmsNUzZKUNDLCsS,,189134abbf29d414332270328d2744b854266566,d258675a-ea5c-4c07-9502-fe7972b8dfef,Serena-42,Williams,42,06:37.7,06:37.7,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
35,user+33@example.com,$2a$10$buOGlnbutogcbkNFnj1R1.DOaHb97SsCW6chLt9Toe3JsGqL8XeYW,,e7385299f7011566b7cfd541a0dbd117275323ca,21930182-8fbe-4490-8256-025762098fb6,Serena-37,Williams,37,06:37.5,06:37.7,5555555555,Meditation humblebrag slow-carb migas brunch. Lumbersexual five dollar toast mustache. Pinterest shabby chic direct trade polaroid gastropub,fb-user,linkedin-user,twitter-user,0,1,5,,f,f,f,t,,f,token
37,user+40@example.com,$2a$10$xt1WCUdBtnYH11ZqY1R2aeNcClfi/AT5nz0fW40gziIdxYUtHSz0q,,d2ee872e33ac477e136221373e7dd884a948d8a4,5a80ee44-724b-4d09-b8a0-7f46ed7854bf,Serena-44,Williams,44,06:37.9,06:37.9,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
38,user+41@example.com,$2a$10$jmDoyf4WneC.ZYVIVcNdPu2kqs7/Nk4az/Tr4hmXTLkXpz6Zu9vV.,,4b225b1b6e9fc4b4297f2cadd0232ef63667c18f,d8d18033-aeba-45d5-b886-df9c88267c78,Serena-45,Williams,45,06:38.0,06:38.0,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
39,user+42@example.com,$2a$10$hz4GQcxmiNOdjwlHFAk4J.xHqWkMFRs0tb5XdDn1ncFjrYu/Oy6tS,,766ba9c924cd6e38aebdede846cc7e216cb30372,eceabd31-6e33-4c7c-8028-dec109cd6b1c,Serena-46,Williams,46,06:38.1,06:38.1,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
40,user+39@example.com,$2a$10$2.Teo3DAI4qhHmqU9WL4QOhgF3sXxwSS3linsCF8RCaZ1.gMUSruK,,294ad3aa641153082d3617c006385300b5c2684e,494f188d-a0bd-45ad-b6c7-f37191741b69,Serena-43,Williams,43,06:38.2,06:38.5,5555555555,Kitsch ethical blue bottle knausgaard. Hammock hashtag ramps. Xoxo bespoke viral kombucha chia 3 wolf moon vinegar bushwick.,fb-user,linkedin-user,twitter-user,0,1,5,,f,f,f,t,,f,token
42,user+46@example.com,$2a$10$B/LbL.L/dgW8Fd54j9qP6.4ezfIxppUji/g91qVw9mQZVZd9KjiLS,,2164eb663e68db7f68a57cc059bf0003faebc295,bdf60d0f-8e02-4699-9c26-d6ab6f363967,Serena-50,Williams,50,06:38.6,06:38.6,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
43,user+47@example.com,$2a$10$0Vh7q1h9Gl269oxJuT.eyumvR7UYt3dsMnLn6QKSI0ykSuesXOmpm,,41ce82dc0ae1ee66f73e1bc2d085d5aca681857c,70642b0d-7f11-4789-92c6-98561a4f9917,Serena-51,Williams,51,06:38.7,06:38.7,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
44,user+48@example.com,$2a$10$7iVkYYFDWBrU5jiDwIPACehkxyLMcaNdSkakweoJOEEcFVM5QLScm,,73532c3aa72677c390aec05672c861cb00d94b76,b6dd49db-5a63-4230-ab8b-0c18e7c0aa08,Serena-52,Williams,52,06:38.9,06:38.9,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
48,user+53@example.com,$2a$10$0f1FP6BabiyfaN8444z1NuKu6DHvgpcDG15XmqngAVmc4Jp547WUG,,680d9faddebbf8877e53b27c02848cec6c572ec1,5fa64d7c-e4dd-433a-bd0f-4ae1ae3b1148,Serena-57,Williams,57,06:39.5,06:39.5,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
46,user+50@example.com,$2a$10$ZO4CIBx6BZKhqHIgZjRFhO0nqFVvQAgiwYIiu0cMwBoL2qNKFDPw6,,7bead02e94ce0a780772cdae15684c3be39fe03d,0c0e9f56-c406-4700-b896-c0891b63af04,Serena-54,Williams,54,06:39.2,06:39.2,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
45,user+45@example.com,$2a$10$fuw.j0pTLf0fJ3Qnpq8kTuRu6icGU4ohCxHtdBjx3H7FQWv2APkbu,,5f0b989dc0672cb8f3f3fb4e813e664a0944641a,a413dedb-0f8d-47ec-99b6-72a59f318270,Serena-49,Williams,49,06:39.0,06:39.2,5555555555,Chia fingerstache fanny pack irony scenester before they sold out. Ugh goth kale chips stumptown. Tousled umami lo-fi. Cardigan shabby chic ,fb-user,linkedin-user,twitter-user,0,1,5,,f,f,f,t,,f,token
47,user+52@example.com,$2a$10$cF4QSEN6qcy2it5EZYzCKefObH2X05FdWHjB7a0ZFG89Ns5TXDiQC,,967b92bbbe33b5c64a0a31ecdf7f20039b57090c,abcfcd48-8d03-4ee4-9383-48d198ed7a5d,Serena-56,Williams,56,06:39.4,06:39.4,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
49,user+54@example.com,$2a$10$YT5d575HpzZwS5wvzZm7a.ZjEZWH5dKgILv1ZTdA3PZW/fVguknn.,,ed12e82ff8a30f2d31b6724760525e979d54b4ff,5a0f71b0-c8e6-4a70-87c3-d567a7dc2995,Serena-58,Williams,58,06:39.6,06:39.6,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
64,user+72@example.com,$2a$10$pICff5vdDVdjzYh.wlpiPuEXRCPzarygY8OWP0CD/bCeu6agnzjLe,,ed4cf4b2a76b8cdec5ea78e891761382fc30e24e,fddbb25a-6071-42cc-a4d1-8baf89a41be2,Serena-76,Williams,76,06:41.8,06:41.8,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
51,user+56@example.com,$2a$10$Rw/vbSGwu4Q0dbeKBCoV1enf6t3.A.oulSuyU2KbHn7e7twmysNaW,,f302db6b8cfda82dd54de4027899e3732771f747,b89db075-6bdb-415b-be76-6a28800a1c79,Serena-60,Williams,60,06:39.9,06:39.9,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
50,user+51@example.com,$2a$10$V4BFWVh6ufN4JDNtWxvM0.PtuoetzHORlNDpf4b43lfuoZE6RcoKK,,3c509079b08e1a536477d6cb8281690d75d507ff,e64f86bf-f771-4a07-8fe0-96369998c2da,Serena-55,Williams,55,06:39.7,06:40.0,5555555555,Wes anderson kickstarter cliche taxidermy green juice vhs listicle. Whatever ramps cardigan health leggings vegan. Tattooed retro meditation,fb-user,linkedin-user,twitter-user,0,1,5,,f,f,f,t,,f,token
52,user+58@example.com,$2a$10$Zqy/6v/iujTMS8JnMz9EVOf4fQPzysT/lde0PXc2aX9Z8eiI1F7.O,,da38bc113baeb07a3c68eb8ced6278cd5ba4960f,987c3902-ec0a-4164-a28b-186e3c6d1288,Serena-62,Williams,62,06:40.2,06:40.2,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
53,user+59@example.com,$2a$10$.tU8HKwHLMozGt7HfXEDRuuQObL41kUIkKl71lW4idZwu7GaqUldW,,6ec1b2192b1fefd7fa4594a1756fb96690e78c5f,c838180b-30f9-40db-ad39-6500285d99f7,Serena-63,Williams,63,06:40.2,06:40.2,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
54,user+60@example.com,$2a$10$kJ9Q9A13KyNNNQitUXpiL.S0WMoDJ2eZXoDS3jHCGu1zv48pyWTEq,,d6820f1fb234fa3c75e70d10b983244532fb166f,0473f926-dc92-4370-9564-a5e3e9f6c920,Serena-64,Williams,64,06:40.4,06:40.4,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
56,user+62@example.com,$2a$10$pOaToL.8Oi5HZeyUI84.1OebYR7p4WPpAe6QP.Mz.yaxX48CuOAWS,,cc407776d43d8afbcec6a8459e67ee63f74f9867,8f44ec1f-ebdc-4109-b5f7-28fc1aecc047,Serena-66,Williams,66,06:40.7,06:40.7,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
55,user+57@example.com,$2a$10$wTM8orDBaRJCged2NbMPdOuv9WKIdO7RP8gw2.wAet4AdgPAWP0f.,,2f9d216edd1e6e801f22229e348899c42438fd60,2f60642c-58d8-4269-9c8b-8a699a7158bf,Serena-61,Williams,61,06:40.5,06:40.7,5555555555,Portland flannel mustache photo booth echo twee literally. 8-bit jean shorts occupy cred vice meh tilde pinterest. Actually williamsburg mig,fb-user,linkedin-user,twitter-user,0,1,5,,f,f,f,t,,f,token
57,user+64@example.com,$2a$10$AwO5bCKdICdgSuDfgfFN5.ROn06zxZiwm2KJDlPZNFha1pWHyCmdC,,d8b351cbb58965a48fcb7db9c6b86f74a02b8f45,4ba05e3d-99ce-415f-b701-20f805f8ac71,Serena-68,Williams,68,06:40.9,06:40.9,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
58,user+65@example.com,$2a$10$YjUYgAdSTkEbiXtJ0Dc1zOa0uMUGL3d2aKFIg8Hfe9yTtAOt6n3JS,,70469c12721dc21307fd3aa73249334cbe8251c1,d2e18718-aa96-4df2-b04b-3cff66e8937f,Serena-69,Williams,69,06:41.0,06:41.0,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
59,user+66@example.com,$2a$10$o/P9Nr9QQypnPKkIrDjtVOD7Jw3H1p5kJFAMlUu7uMbewR5td/5Cy,,d7e4c4a0a4a0c90682be28cafa19e3da72c652a8,09b96ad3-f103-4f4d-ac81-37b60698d8c4,Serena-70,Williams,70,06:41.1,06:41.1,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
61,user+68@example.com,$2a$10$fHM.eNkfgg0q5Y94OyjFMetV.C7k4dve2qRIQQGj2Ou4XdQSbt3gi,,79be71ca5052211368287591956cd3ee6594fcce,a7793800-f733-48ac-8ef4-d1c05b638e6f,Serena-72,Williams,72,06:41.4,06:41.4,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
60,user+63@example.com,$2a$10$t6e4udtnr6J8cPADGyXo2uV5oanlJuYS0TzWqCBsvhjkeV3.yYUsi,,92bbe67e4e4c8a0abf0d1e5f68ec96f62ff4cf69,df3f76ea-c2f8-452b-944c-03fb91ab9926,Serena-67,Williams,67,06:41.2,06:41.5,5555555555,Banjo scenester kickstarter pabst trust fund. Beard lumbersexual migas messenger bag cred whatever pop-up. Everyday vhs jean shorts vinyl sh,fb-user,linkedin-user,twitter-user,0,1,5,,f,f,f,t,,f,token
62,user+70@example.com,$2a$10$7Le8wEyUkD48wGu6PRScl.6vO2IjBxYJIy6psZzJgR5fHFRMmdf76,,c3d4fe5e6cd496e3a6c2e12396e4341c4568c9c1,731f9fa5-f74c-4a9e-93ab-85fe56dbf9e2,Serena-74,Williams,74,06:41.6,06:41.6,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
63,user+71@example.com,$2a$10$DEL/5i0gJMkKkMjZKLelEuKTarM/yjo244URZeayPrORt4uAs.PdS,,750c4014a366231db7273136db4d544f7d511cf6,358ecd7f-17c8-4b13-861d-0fb02adc579f,Serena-75,Williams,75,06:41.7,06:41.7,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
66,user+74@example.com,$2a$10$5yBuuoabHZSxt9aSuORymesWQC//2o0qRrGlFKzaS4.m6lpoql3AO,,87b7845ca1ff35853ce159176d5342054f93599a,b6a0bc71-e15c-4c5b-9f79-988e3c1638bf,Serena-78,Williams,78,06:42.1,06:42.1,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
65,user+69@example.com,$2a$10$5SqTwLF8zQ4atm3DSRPv8eUY/jDZq4MEEy3i6gBonbHWSEMvNxXj2,,02dedf08f9547c0ba24c16b66d722ec76bff519b,6fa5b696-091d-43d6-a988-54135a35a99d,Serena-73,Williams,73,06:41.9,06:42.2,5555555555,Poutine blog etsy shabby chic vhs. Diy pitchfork artisan pop-up readymade fanny pack actually wolf. Aesthetic pitchfork venmo carry tofu key,fb-user,linkedin-user,twitter-user,0,1,5,,f,f,f,t,,f,token
67,user+76@example.com,$2a$10$Zq/sQ0JSUG0FuTM1Hk0EIOEa4AD5Zv.egdCS7I0KGQiwkrodmlAza,,10de7b02d428f8e9f5b1eb06c4d6f6d83590ffad,658775ea-9b4a-42bb-bf6a-1b942d110ccf,Serena-80,Williams,80,06:42.3,06:42.3,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
68,user+77@example.com,$2a$10$dE/Mz0jgUzdLM7o1nwpUZ.XBvIqJV/Y4H5bryIpjsj9GNr41mmNtW,,1b1c9479b7aaf8bd3465e2e5dbc9937ae04a6adf,45b2b191-089c-4419-8a26-9f77dee2427e,Serena-81,Williams,81,06:42.4,06:42.4,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
69,user+78@example.com,$2a$10$Ip88MTPimCzGK29Hd6oUfe3I9pi7OeBmvL3QWFk7Tq9y2kSUXS8b6,,f22d1970205ab289567734c31f0540606306a360,a0ba7413-2908-4be7-a676-0ab2ff44752e,Serena-82,Williams,82,06:42.5,06:42.5,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
73,user+83@example.com,$2a$10$q/JriBfREeumSQepLz/5s.lmqVCDErxfLx2WWPm48G0TTdcYefIs.,,90f1755f05cc298cbd52ff2b4cf9b9ace1907895,1ff7d88e-ee45-4ec7-83f5-81ec69adc331,Serena-87,Williams,87,06:43.2,06:43.2,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
71,user+80@example.com,$2a$10$PejZQsjb3dg1HYafitl3/.C2ImAhejxnfmDEucL.nIBgjUofHqyV2,,25697763d485bbe86dbeff6cff6cf4580ed0e154,3cf38025-cc32-4846-8412-95c85bc2bbe6,Serena-84,Williams,84,06:42.9,06:42.9,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
